product_id,title,brand,category,price,discount_percentage,rating,stock,description,thumbnail,warranty,shipping,availability,return_policy,minimum_order,source,extracted_at
DUMMY_SMARTPHONES_131,Samsung Galaxy S7,Samsung,smartphones,299.99,19.55,3.3,67,"The Samsung Galaxy S7 is a flagship smartphone known for its sleek design and advanced features. It features a high-resolution display, powerful camera, and robust performance.",https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s7/thumbnail.webp,3 months warranty,Ships in 3-5 business days,In Stock,No return policy,1,DummyJSON_smartphones,2025-10-01T21:55:20.879191
DUMMY_SMARTPHONES_132,Samsung Galaxy S8,Samsung,smartphones,499.99,19.45,4.4,0,"The Samsung Galaxy S8 is a premium smartphone with an Infinity Display, offering a stunning visual experience. It boasts advanced camera capabilities and cutting-edge technology.",https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s8/thumbnail.webp,2 year warranty,Ships in 1 week,Out of Stock,No return policy,4,DummyJSON_smartphones,2025-10-01T21:55:20.879193
DUMMY_SMARTPHONES_133,Samsung Galaxy S10,Samsung,smartphones,699.99,5.59,3.06,19,"The Samsung Galaxy S10 is a flagship device featuring a dynamic AMOLED display, versatile camera system, and powerful performance. It represents innovation and excellence in smartphone technology.",https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp,No warranty,Ships in 2 weeks,In Stock,30 days return policy,2,DummyJSON_smartphones,2025-10-01T21:55:20.879194
DUMMY_SMARTPHONES_134,Vivo S1,Vivo,smartphones,249.99,10.17,3.5,50,"The Vivo S1 is a stylish and mid-range smartphone offering a blend of design and performance. It features a vibrant display, capable camera system, and reliable functionality.",https://cdn.dummyjson.com/product-images/smartphones/vivo-s1/thumbnail.webp,6 months warranty,Ships in 3-5 business days,In Stock,7 days return policy,1,DummyJSON_smartphones,2025-10-01T21:55:20.879196
DUMMY_SMARTPHONES_135,Vivo V9,Vivo,smartphones,299.99,17.67,3.6,82,"The Vivo V9 is a smartphone known for its sleek design and emphasis on capturing high-quality selfies. It features a notch display, dual-camera setup, and a modern design.",https://cdn.dummyjson.com/product-images/smartphones/vivo-v9/thumbnail.webp,2 year warranty,Ships in 1 month,In Stock,60 days return policy,2,DummyJSON_smartphones,2025-10-01T21:55:20.879197
DUMMY_SMARTPHONES_136,Vivo X21,Vivo,smartphones,499.99,17.41,4.26,7,"The Vivo X21 is a premium smartphone with a focus on cutting-edge technology. It features an in-display fingerprint sensor, a high-resolution display, and advanced camera capabilities.",https://cdn.dummyjson.com/product-images/smartphones/vivo-x21/thumbnail.webp,1 year warranty,Ships in 1-2 business days,In Stock,60 days return policy,3,DummyJSON_smartphones,2025-10-01T21:55:20.879199
DUMMY_LAPTOPS_78,Apple MacBook Pro 14 Inch Space Grey,Apple,laptops,1999.99,4.69,3.65,24,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display.",https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp,3 year warranty,Ships in 2 weeks,In Stock,90 days return policy,1,DummyJSON_laptops,2025-10-01T21:55:21.705704
DUMMY_LAPTOPS_79,Asus Zenbook Pro Dual Screen Laptop,Asus,laptops,1799.99,11.14,3.95,45,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals.",https://cdn.dummyjson.com/product-images/laptops/asus-zenbook-pro-dual-screen-laptop/thumbnail.webp,3 year warranty,Ships in 1 month,In Stock,7 days return policy,1,DummyJSON_laptops,2025-10-01T21:55:21.705712
DUMMY_LAPTOPS_80,Huawei Matebook X Pro,Huawei,laptops,1399.99,9.38,4.98,75,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go.",https://cdn.dummyjson.com/product-images/laptops/huawei-matebook-x-pro/thumbnail.webp,No warranty,Ships overnight,In Stock,60 days return policy,1,DummyJSON_laptops,2025-10-01T21:55:21.705714
DUMMY_LAPTOPS_81,Lenovo Yoga 920,Lenovo,laptops,1099.99,6.55,2.86,40,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability.",https://cdn.dummyjson.com/product-images/laptops/lenovo-yoga-920/thumbnail.webp,6 months warranty,Ships in 2 weeks,In Stock,No return policy,1,DummyJSON_laptops,2025-10-01T21:55:21.705715
DUMMY_LAPTOPS_82,New DELL XPS 13 9300 Laptop,Dell,laptops,1499.99,11.89,2.67,74,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks.",https://cdn.dummyjson.com/product-images/laptops/new-dell-xps-13-9300-laptop/thumbnail.webp,2 year warranty,Ships in 2 weeks,In Stock,60 days return policy,1,DummyJSON_laptops,2025-10-01T21:55:21.705717
DUMMY_TABLETS_159,iPad Mini 2021 Starlight,Apple,tablets,499.99,3.64,3.18,47,"The iPad Mini 2021 in Starlight is a compact and powerful tablet from Apple. Featuring a stunning Retina display, powerful A-series chip, and a sleek design, it offers a premium tablet experience.",https://cdn.dummyjson.com/product-images/tablets/ipad-mini-2021-starlight/thumbnail.webp,2 year warranty,Ships in 1-2 business days,In Stock,No return policy,3,DummyJSON_tablets,2025-10-01T21:55:22.574213
DUMMY_TABLETS_160,Samsung Galaxy Tab S8 Plus Grey,Samsung,tablets,599.99,13.31,4.68,62,"The Samsung Galaxy Tab S8 Plus in Grey is a high-performance Android tablet by Samsung. With a large AMOLED display, powerful processor, and S Pen support, it's ideal for productivity and entertainment.",https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-s8-plus-grey/thumbnail.webp,3 months warranty,Ships in 2 weeks,In Stock,7 days return policy,1,DummyJSON_tablets,2025-10-01T21:55:22.574223
DUMMY_TABLETS_161,Samsung Galaxy Tab White,Samsung,tablets,349.99,18.2,3.72,92,"The Samsung Galaxy Tab in White is a sleek and versatile Android tablet. With a vibrant display, long-lasting battery, and a range of features, it offers a great user experience for various tasks.",https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp,3 months warranty,Ships overnight,In Stock,7 days return policy,5,DummyJSON_tablets,2025-10-01T21:55:22.574226
